,District,Variety,Month,Year,Price
384,Jalana,DCH-32(Unginned),May,2019,4054
385,Beed,Varaxmi,May,2019,4686
386,Beed,Desi,May,2019,4701
387,Beed,Other,May,2019,4676
388,Beed,H-4(A) 27mm FIne,May,2019,4799
389,Beed,LRA,May,2019,4722
390,Beed,N-44,May,2019,4704
391,Beed,DCH-32(Unginned),May,2019,4527
392,Buldhana,Varaxmi,May,2019,4373
393,Buldhana,Desi,May,2019,4528
394,Buldhana,Other,May,2019,4524
395,Buldhana,H-4(A) 27mm FIne,May,2019,4920
396,Buldhana,LRA,May,2019,4534
397,Buldhana,N-44,May,2019,4527
398,Buldhana,DCH-32(Unginned),May,2019,4537
399,Nanded,Varaxmi,May,2019,4369
400,Nanded,Desi,May,2019,4419
401,Nanded,Other,May,2019,4416
402,Nanded,H-4(A) 27mm FIne,May,2019,4538
403,Nanded,LRA,May,2019,4425
404,Nanded,N-44,May,2019,4420
405,Nanded,DCH-32(Unginned),May,2019,4493
406,Akola,Varaxmi,May,2019,4480
407,Akola,Desi,May,2019,4648
408,Akola,Other,May,2019,4635
409,Akola,H-4(A) 27mm FIne,May,2019,4791
410,Akola,LRA,May,2019,4721
411,Akola,N-44,May,2019,4653
412,Akola,DCH-32(Unginned),May,2019,4524
413,Aurangabad,Varaxmi,May,2019,4801
414,Aurangabad,Desi,May,2019,4773
415,Aurangabad,Other,May,2019,4738
416,Aurangabad,H-4(A) 27mm FIne,May,2019,4817
417,Aurangabad,LRA,May,2019,4785
418,Aurangabad,N-44,May,2019,4774
419,Aurangabad,DCH-32(Unginned),May,2019,4546
420,Wardha,Varaxmi,Jun,2019,4496
421,Wardha,Desi,Jun,2019,4577
422,Wardha,Other,Jun,2019,4569
423,Wardha,H-4(A) 27mm FIne,Jun,2019,4756
424,Wardha,LRA,Jun,2019,4601
425,Wardha,N-44,Jun,2019,4580
426,Wardha,DCH-32(Unginned),Jun,2019,4524
427,Nagpur,Varaxmi,Jun,2019,4774
428,Nagpur,Desi,Jun,2019,4805
429,Nagpur,Other,Jun,2019,4786
430,Nagpur,H-4(A) 27mm FIne,Jun,2019,4768
431,Nagpur,LRA,Jun,2019,4879
432,Nagpur,N-44,Jun,2019,4804
433,Nagpur,DCH-32(Unginned),Jun,2019,4589
434,Yavatmal,Varaxmi,Jun,2019,4699
435,Yavatmal,Desi,Jun,2019,4660
436,Yavatmal,Other,Jun,2019,4649
437,Yavatmal,H-4(A) 27mm FIne,Jun,2019,4771
438,Yavatmal,LRA,Jun,2019,4636
439,Yavatmal,N-44,Jun,2019,4664
440,Yavatmal,DCH-32(Unginned),Jun,2019,4525
441,Chandrapur,Varaxmi,Jun,2019,4490
442,Chandrapur,Desi,Jun,2019,4593
443,Chandrapur,Other,Jun,2019,4590
444,Chandrapur,H-4(A) 27mm FIne,Jun,2019,4699
445,Chandrapur,LRA,Jun,2019,4598
446,Chandrapur,N-44,Jun,2019,4593
447,Chandrapur,DCH-32(Unginned),Jun,2019,4525
448,Parbhani,Varaxmi,Jun,2019,4850
449,Parbhani,Desi,Jun,2019,4800
450,Parbhani,Other,Jun,2019,4644
451,Parbhani,H-4(A) 27mm FIne,Jun,2019,4894
452,Parbhani,LRA,Jun,2019,4805
453,Parbhani,N-44,Jun,2019,4801
454,Parbhani,DCH-32(Unginned),Jun,2019,4565
455,Amarawati,Varaxmi,Jun,2019,4690
456,Amarawati,Desi,Jun,2019,4709
457,Amarawati,Other,Jun,2019,4685
458,Amarawati,H-4(A) 27mm FIne,Jun,2019,4796
459,Amarawati,LRA,Jun,2019,4727
460,Amarawati,N-44,Jun,2019,4716
461,Amarawati,DCH-32(Unginned),Jun,2019,4527
462,Jalana,Varaxmi,Jun,2019,4033
463,Jalana,Desi,Jun,2019,4054
464,Jalana,Other,Jun,2019,4054
465,Jalana,H-4(A) 27mm FIne,Jun,2019,4084
466,Jalana,LRA,Jun,2019,4054
467,Jalana,N-44,Jun,2019,4054
468,Jalana,DCH-32(Unginned),Jun,2019,4054
469,Beed,Varaxmi,Jun,2019,4686
470,Beed,Desi,Jun,2019,4701
471,Beed,Other,Jun,2019,4676
472,Beed,H-4(A) 27mm FIne,Jun,2019,4799
473,Beed,LRA,Jun,2019,4722
474,Beed,N-44,Jun,2019,4704
475,Beed,DCH-32(Unginned),Jun,2019,4527
476,Buldhana,Varaxmi,Jun,2019,4373
477,Buldhana,Desi,Jun,2019,4528
478,Buldhana,Other,Jun,2019,4524
479,Buldhana,H-4(A) 27mm FIne,Jun,2019,4920
480,Buldhana,LRA,Jun,2019,4534
481,Buldhana,N-44,Jun,2019,4527
482,Buldhana,DCH-32(Unginned),Jun,2019,4537
483,Nanded,Varaxmi,Jun,2019,4369
484,Nanded,Desi,Jun,2019,4419
485,Nanded,Other,Jun,2019,4416
486,Nanded,H-4(A) 27mm FIne,Jun,2019,4538
487,Nanded,LRA,Jun,2019,4425
488,Nanded,N-44,Jun,2019,4420
489,Nanded,DCH-32(Unginned),Jun,2019,4493
490,Akola,Varaxmi,Jun,2019,4480
491,Akola,Desi,Jun,2019,4648
492,Akola,Other,Jun,2019,4635
493,Akola,H-4(A) 27mm FIne,Jun,2019,4791
494,Akola,LRA,Jun,2019,4721
495,Akola,N-44,Jun,2019,4653
496,Akola,DCH-32(Unginned),Jun,2019,4524
497,Aurangabad,Varaxmi,Jun,2019,4801
498,Aurangabad,Desi,Jun,2019,4773
499,Aurangabad,Other,Jun,2019,4738
500,Aurangabad,H-4(A) 27mm FIne,Jun,2019,4817
501,Aurangabad,LRA,Jun,2019,4785
502,Aurangabad,N-44,Jun,2019,4774
503,Aurangabad,DCH-32(Unginned),Jun,2019,4546
504,Wardha,Varaxmi,Jul,2019,4809
505,Wardha,Desi,Jul,2019,4906
506,Wardha,Other,Jul,2019,4898
507,Wardha,H-4(A) 27mm FIne,Jul,2019,4901
508,Wardha,LRA,Jul,2019,5023
509,Wardha,N-44,Jul,2019,4915
510,Wardha,DCH-32(Unginned),Jul,2019,4906
511,Nagpur,Varaxmi,Jul,2019,4981
512,Nagpur,Desi,Jul,2019,4988
513,Nagpur,Other,Jul,2019,4953
514,Nagpur,H-4(A) 27mm FIne,Jul,2019,4987
515,Nagpur,LRA,Jul,2019,5044
516,Nagpur,N-44,Jul,2019,4989
517,Nagpur,DCH-32(Unginned),Jul,2019,4977
518,Yavatmal,Varaxmi,Jul,2019,5071
519,Yavatmal,Desi,Jul,2019,4961
520,Yavatmal,Other,Jul,2019,4960
521,Yavatmal,H-4(A) 27mm FIne,Jul,2019,4961
522,Yavatmal,LRA,Jul,2019,4847
523,Yavatmal,N-44,Jul,2019,4961
524,Yavatmal,DCH-32(Unginned),Jul,2019,4961
525,Chandrapur,Varaxmi,Jul,2019,4917
526,Chandrapur,Desi,Jul,2019,4946
527,Chandrapur,Other,Jul,2019,4929
528,Chandrapur,H-4(A) 27mm FIne,Jul,2019,4941
529,Chandrapur,LRA,Jul,2019,5044
530,Chandrapur,N-44,Jul,2019,4954
531,Chandrapur,DCH-32(Unginned),Jul,2019,4947
532,Parbhani,Varaxmi,Jul,2019,5068
533,Parbhani,Desi,Jul,2019,4914
534,Parbhani,Other,Jul,2019,4880
535,Parbhani,H-4(A) 27mm FIne,Jul,2019,4872
536,Parbhani,LRA,Jul,2019,5015
537,Parbhani,N-44,Jul,2019,4917
538,Parbhani,DCH-32(Unginned),Jul,2019,4913
539,Amarawati,Varaxmi,Jul,2019,4816
540,Amarawati,Desi,Jul,2019,4932
541,Amarawati,Other,Jul,2019,4924
542,Amarawati,H-4(A) 27mm FIne,Jul,2019,4927
543,Amarawati,LRA,Jul,2019,5016
